,p_id,p_name,p_price,p_discount,p_price_sale,p_price_org,p_margin,p_stock,p_size,p_new,p_best,p_delivery_day,p_category,p_img_id,p_regdate
0,top_0,베이지 도트 페플럼 스퀘어넥 블라우스,39900,0,39900,18928,20972,4,"S,M,L",y,y,1,top,img_top0,2019-08-02
1,top_1,블랙 벨벳 플로럴 슬릿 블라우스,49900,0,49900,24686,25214,10,"S,M,L",y,n,12,top,img_top1,2019-11-25
2,top_2,블랙 레이스 헨리넥 블라우스,49900,0,49900,45461,4439,4,"S,M,L",n,n,14,top,img_top2,2019-01-13
3,top_3,화이트 포켓 언밸런스 셔츠,49900,0,49900,14652,35248,70,"S,M,L",n,n,4,top,img_top3,2019-04-13
4,top_4,브릭 타탄 체크 퍼프 소매 블라우스,39900,0,39900,6673,33227,40,"S,M,L",n,n,10,top,img_top4,2019-01-04
5,top_5,[특별가격] 브라운 글렌체크 페플럼 프릴넥 블라우스,49900,40,29900,34104,-4204,97,"S,M,L",n,n,2,top,img_top5,2019-07-28
6,top_6,블랙 포인트 O링 지퍼 코르셋,35900,0,35900,8413,27487,76,"S,M,L",y,n,1,top,img_top6,2019-03-20
7,top_7,화이트 백 핀턱 스냅 버튼 셔츠,59900,0,59900,13723,46177,31,"S,M,L",y,n,8,top,img_top7,2019-03-01
8,top_8,블랙 하트 패턴 리본 블라우스,39900,0,39900,39108,792,17,"S,M,L",n,n,5,top,img_top8,2019-11-08
9,top_9,블랙 벨벳 플로럴 페플럼 블라우스,49900,0,49900,47316,2584,55,"S,M,L",n,n,7,top,img_top9,2019-06-05
10,top_10,라이트 그린 포켓 언밸런스 셔츠,49900,0,49900,7179,42721,39,"S,M,L",n,n,11,top,img_top10,2019-11-14
11,top_11,블랙 포인트 스팽클 크롭트 블라우스,49900,0,49900,21793,28107,1,"S,M,L",n,n,11,top,img_top11,2019-09-06
12,top_12,블루 셔링 소매 데님 블라우스,49900,0,49900,30364,19536,68,"S,M,L",n,n,9,top,img_top12,2019-08-13
13,top_13,[특별가격] 베이지 모달 포켓 블라우스,39900,25,29900,39599,-9699,29,"S,M,L",n,n,4,top,img_top13,2019-01-17
14,top_14,블랙 플로럴 리본 포인트 셔링 셔츠,49900,0,49900,5363,44537,13,"S,M,L",n,n,8,top,img_top14,2019-09-10
15,top_15,핑크 레오파드 스모킹 하프넥 블라우스,39900,0,39900,8012,31888,90,"S,M,L",n,n,11,top,img_top15,2019-05-08
16,top_16,[특별가격] 베이지 투 포켓 루즈핏 셔츠,49900,40,29900,40316,-10416,15,"S,M,L",n,n,5,top,img_top16,2019-08-22
17,top_17,블랙 벨벳 백 셔링 블라우스,39900,0,39900,22332,17568,28,"S,M,L",n,n,4,top,img_top17,2019-08-30
18,top_18,네이비 배색 스트랩 블라우스,49900,0,49900,38880,11020,74,"S,M,L",n,n,10,top,img_top18,2019-03-03
19,top_19,블랙 레이스 스팽글 뷔스티에,35900,0,35900,8594,27306,36,"S,M,L",n,n,13,top,img_top19,2019-09-11
20,top_20,브릭 체크 페플럼 블라우스,39900,0,39900,14494,25406,79,"S,M,L",n,n,6,top,img_top20,2019-08-09
21,top_21,[특별가격] 블랙 시스루 프릴 블라우스,39900,25,29900,15485,14415,49,"S,M,L",n,n,12,top,img_top21,2019-06-18
22,top_22,베이지 라운드 헴라인 셔츠,39900,0,39900,27252,12648,83,"S,M,L",n,n,1,top,img_top22,2019-11-25
23,top_23,블랙 페이크 레더 백 스모킹 튜브탑,39900,0,39900,22495,17405,19,"S,M,L",n,n,14,top,img_top23,2019-05-25
24,top_24,[특별가격] 블랙 체크 오픈 칼라 블라우스,39900,25,29900,36317,-6417,86,"S,M,L",n,n,4,top,img_top24,2019-07-06
25,top_25,[특별가격] 블랙 도트 셔링 네크라인 블라우스,39900,25,29900,20605,9295,17,"S,M,L",n,n,13,top,img_top25,2019-11-26
26,top_26,베이지 셔링 네크라인 블라우스,49900,0,49900,12323,37577,17,"S,M,L",n,n,8,top,img_top26,2019-04-30
27,top_27,스카이 블루 셔링 소매 블라우스,49900,0,49900,35879,14021,87,"S,M,L",n,n,3,top,img_top27,2019-04-28
28,top_28,[특별가격] 그린 핀턱 볼륨소매 블라우스,49900,40,29900,43983,-14083,25,"S,M,L",n,n,6,top,img_top28,2019-10-23
29,top_29,핑크 스웨이드 셔링 브이넥 블라우스,39900,0,39900,31765,8135,74,"S,M,L",n,n,3,top,img_top29,2019-08-29
30,top_30,블랙 새틴 버튼 블라우스,49900,0,49900,25620,24280,87,"S,M,L",n,n,5,top,img_top30,2019-04-23
31,top_31,핑크 플로럴 레이스 플리츠 라운드넥 블라우스,49900,0,49900,24467,25433,87,"S,M,L",n,n,2,top,img_top31,2019-02-21
32,top_32,라이트 핑크 플로럴 프린팅 프릴 셔츠,49900,0,49900,12861,37039,23,"S,M,L",n,n,11,top,img_top32,2019-12-15
33,top_33,[특별가격] 라이트 핑크 플로럴 리본 네크라인 쉬폰 블라우스,49900,40,29900,7849,22051,30,"S,M,L",y,n,5,top,img_top33,2019-02-01
34,top_34,[특별가격] 블랙 플로럴 러플 시스루 블라우스,39900,25,29900,12531,17369,26,"S,M,L",n,n,9,top,img_top34,2019-10-15
35,top_35,화이트 포인트 프릴 블라우스,49900,0,49900,6723,43177,20,"S,M,L",n,n,11,top,img_top35,2019-09-14
36,top_36,옐로이시 브라운 셔링 브이넥 블라우스,39900,0,39900,14455,25445,63,"S,M,L",n,n,2,top,img_top36,2019-09-23
37,top_37,[특별가격] 라이트 핑크 소매 스트랩 하프넥 블라우스,49900,20,39900,22307,17593,27,"S,M,L",n,n,9,top,img_top37,2019-04-21
38,top_38,네이비 패턴 브이넥 블라우스,29900,0,29900,15518,14382,40,"S,M,L",n,n,9,top,img_top38,2019-06-16
39,top_39,블랙 빈티지 플라워 블라우스,49900,0,49900,14331,35569,95,"S,M,L",n,n,7,top,img_top39,2019-12-12
40,top_40,브라운 플로럴 셔링 블라우스,39900,0,39900,35615,4285,16,"S,M,L",n,n,2,top,img_top40,2019-04-29
41,top_41,화이트 새틴 리본 블라우스,39900,0,39900,975,38925,44,"S,M,L",n,n,11,top,img_top41,2019-01-09
42,top_42,화이트 코튼 오버사이즈 셔츠,59900,0,59900,56464,3436,70,"S,M,L",n,n,8,top,img_top42,2019-02-15
43,top_43,[특별가격] 아이보리 모달 포켓 블라우스,39900,25,29900,10122,19778,45,"S,M,L",n,n,6,top,img_top43,2019-09-18
44,top_44,베이지 페이크 포켓 아우터형 셔츠,49900,0,49900,18974,30926,77,"S,M,L",n,n,10,top,img_top44,2019-05-10
45,top_45,베이지 코듀로이 셔링 소매 셔츠,45900,0,45900,23882,22018,72,"S,M,L",n,n,1,top,img_top45,2019-03-28
46,top_46,블랙 플로럴 프릴넥 블라우스,39900,0,39900,7807,32093,75,"S,M,L",n,n,2,top,img_top46,2019-09-17
47,top_47,브라운 타탄 체크 포켓 셔츠,29900,0,29900,25239,4661,41,"S,M,L",n,n,1,top,img_top47,2019-03-31
48,top_48,[특별가격] 네이비 플로럴 리본 네크라인 쉬폰 블라우스,49900,40,29900,7612,22288,28,"S,M,L",n,n,4,top,img_top48,2019-09-24
49,top_49,블랙 도트 셔링 프릴넥 블라우스,39900,0,39900,2797,37103,45,"S,M,L",n,n,3,top,img_top49,2019-05-11
50,top_50,블루 플로럴 포인트 프릴넥 블라우스,39900,0,39900,12799,27101,21,"S,M,L",n,n,2,top,img_top50,2019-02-01
51,top_51,아이보리 솔리드 칼라 셔츠,39900,0,39900,32684,7216,98,"S,M,L",n,n,3,top,img_top51,2019-07-30
52,top_52,네이비 새틴 리본 블라우스,39900,0,39900,21990,17910,40,"S,M,L",n,n,8,top,img_top52,2019-09-16
53,top_53,[특별가격] 그린 깅엄 체크 셔링 블라우스,29900,33,19900,24972,-5072,98,"S,M,L",n,n,11,top,img_top53,2019-05-23
54,top_54,화이트 레이스 러플 블라우스,49900,0,49900,3885,46015,66,"S,M,L",n,n,10,top,img_top54,2019-11-29
55,top_55,[특별가격] 베이지 슬릿 칼라 포인트 셔츠,49900,40,29900,31794,-1894,65,"S,M,L",n,n,3,top,img_top55,2019-02-15
56,top_56,베이지 포인트 세일러 칼라 블라우스,45900,0,45900,39363,6537,81,"S,M,L",n,n,4,top,img_top56,2019-09-18
57,top_57,[특별가격] 블랙 스트라이프 포인트 타이 퍼프 소매 블라우스,49900,40,29900,8580,21320,20,"S,M,L",n,n,5,top,img_top57,2019-10-11
58,top_58,네이비 셔링 헨리넥 블라우스,49900,0,49900,40881,9019,23,"S,M,L",n,n,11,top,img_top58,2019-07-29
59,top_59,[특별가격] 화이트 언밸런스 포인트 프릴넥 블라우스,39900,25,29900,3182,26718,33,"S,M,L",n,n,11,top,img_top59,2019-12-15
60,top_60,[특별가격] 머스터드 플로럴 타이 페플럼 블라우스,39900,25,29900,1545,28355,30,"S,M,L",n,n,12,top,img_top60,2019-04-28
61,top_61,화이트 네크라인 셔링 블라우스,49900,0,49900,48106,1794,90,"S,M,L",n,n,11,top,img_top61,2019-11-30
62,top_62,카키 새틴 셔링 블라우스,49900,0,49900,37818,12082,85,"S,M,L",n,n,11,top,img_top62,2019-08-08
63,top_63,옐로이시 브라운 텐셀 코튼 백 리본 오픈 칼라 블라우스,39900,0,39900,21249,18651,1,"S,M,L",n,n,9,top,img_top63,2019-07-20
64,top_64,아이보리 페이크 레더 셔츠,59900,0,59900,15957,43943,14,"S,M,L",n,n,5,top,img_top64,2019-09-14
65,top_65,스카이 블루 코튼 스트라이프 버튼업 언밸런스 7부 소매 블라우스,39900,0,39900,10198,29702,35,"S,M,L",n,n,8,top,img_top65,2019-10-10
66,top_66,블랙 솔리드 버튼업 오픈 칼라 셔츠,49900,0,49900,724,49176,92,"S,M,L",y,n,3,top,img_top66,2019-11-21
67,top_67,블랙 플로럴 프릴넥 블라우스,39900,0,39900,18078,21822,68,"S,M,L",n,n,14,top,img_top67,2019-04-08
68,top_68,[특별가격] 블랙 베이직 포켓 슬릿 셔츠,39900,25,29900,2538,27362,96,"S,M,L",n,n,14,top,img_top68,2019-04-28
69,top_69,레드 오픈 칼라 루즈핏 셔츠,29900,0,29900,29244,656,41,"S,M,L",n,n,4,top,img_top69,2019-06-10
70,top_70,아이보리 아일렛 니트 뷔스티에,25900,0,25900,3578,22322,9,"S,M,L",n,n,9,top,img_top70,2019-06-26
71,top_71,블랙 플로럴 스트랩 페플럼 블라우스,39900,0,39900,34685,5215,86,"S,M,L",n,n,10,top,img_top71,2019-09-01
72,top_72,화이트 코튼 플리츠 세일러 칼라 블라우스,49900,0,49900,9986,39914,38,"S,M,L",n,n,12,top,img_top72,2019-05-15
73,top_73,[특별가격] 베이지 핀턱 포인트 슬릿 언밸런스 블라우스,39900,25,29900,38088,-8188,85,"S,M,L",n,n,5,top,img_top73,2019-05-03
74,top_74,베이지 셔링 칼라 블라우스,49900,0,49900,6932,42968,99,"S,M,L",n,n,12,top,img_top74,2019-10-02
75,top_75,블랙 솔리드 멀티 패턴 슬릿 칼라 블라우스,39900,0,39900,37560,2340,53,"S,M,L",n,n,1,top,img_top75,2019-04-19
76,top_76,블루 플로럴 페플럼 브이넥 블라우스,39900,0,39900,24512,15388,7,"S,M,L",n,n,8,top,img_top76,2019-02-03
77,top_77,아이보리 백 슬릿 칼라 셔츠,39900,0,39900,31213,8687,88,"S,M,L",n,n,1,top,img_top77,2019-08-06
78,top_78,그레이 파이톤 프린트 포켓 블라우스,49900,0,49900,33374,16526,23,"S,M,L",n,n,12,top,img_top78,2019-10-05
79,top_79,블랙 배색 세일러 칼라 블라우스,49900,0,49900,39942,9958,68,"S,M,L",n,n,13,top,img_top79,2019-02-23
80,top_80,[특별가격] 베이지 체크 오픈 칼라 블라우스,39900,25,29900,2183,27717,16,"S,M,L",n,n,3,top,img_top80,2019-01-20
81,top_81,화이트 베이직 언밸런스 브이넥 블라우스,39900,0,39900,4009,35891,41,"S,M,L",n,n,11,top,img_top81,2019-01-09
82,top_82,[특별가격] 화이트 베이직 포켓 슬릿 셔츠,39900,25,29900,1506,28394,98,"S,M,L",n,n,8,top,img_top82,2019-06-25
83,top_83,[특별가격] 아이보리 칼라 리본 스트랩 블라우스,49900,40,29900,31464,-1564,36,"S,M,L",n,n,1,top,img_top83,2019-09-07
84,top_84,옐로우 버튼업 라운드넥 블라우스,49900,0,49900,34657,15243,2,"S,M,L",n,n,2,top,img_top84,2019-08-20
85,top_85,새먼 솔리드 포인트 버튼 볼륨소매 블라우스,39900,0,39900,33650,6250,95,"S,M,L",n,n,6,top,img_top85,2019-06-14
86,top_86,블랙 포인트 프릴 소매 블라우스,39900,0,39900,20225,19675,15,"S,M,L",n,n,1,top,img_top86,2019-10-23
87,top_87,아이보리 플로럴 스트랩 블라우스,39900,0,39900,32616,7284,91,"S,M,L",n,n,14,top,img_top87,2019-10-26
88,top_88,라벤더 코튼 오버사이즈 포켓 셔츠,49900,0,49900,34637,15263,71,"S,M,L",n,n,6,top,img_top88,2019-09-07
89,top_89,화이트 텐셀 코튼 백 리본 오픈 칼라 블라우스,39900,0,39900,29125,10775,96,"S,M,L",n,n,6,top,img_top89,2019-07-18
